proof_system,alg,parties,net,size,trial,time
groth16,spdz,2,lan,64,2,0.1101115
groth16,spdz,2,lan,64,1,0.1096815
groth16,spdz,2,lan,64,0,0.108687
groth16,spdz,3,lan,64,2,0.11388133333333333
groth16,spdz,3,lan,64,1,0.11501533333333334
groth16,spdz,3,lan,64,0,0.11474833333333334
marlin,local,1,cohost,32,2,0.101569
marlin,local,1,cohost,32,0,0.101758
marlin,local,1,cohost,32,1,0.101187
marlin,gsz,3,lan,32,2,0.13286866666666666
marlin,gsz,3,lan,32,1,0.13208333333333333
marlin,gsz,3,lan,32,0,0.13305699999999998
plonk,gsz,3,lan,16,1,0.23289933333333335
plonk,gsz,3,lan,16,2,0.23272633333333334
plonk,gsz,3,lan,16,0,0.23777333333333336
marlin,spdz,3,lan,16,2,0.136218
plonk,local,1,cohost,16,2,0.139088
plonk,local,1,cohost,16,0,0.13818
plonk,local,1,cohost,16,1,0.138289
marlin,spdz,3,lan,16,1,0.13528366666666666
marlin,spdz,2,lan,16,1,0.13654699999999997
marlin,spdz,2,lan,16,2,0.131507
marlin,spdz,2,lan,16,0,0.13225900000000002
marlin,spdz,3,lan,16,0,0.13713766666666669
plonk,spdz,2,lan,8,2,0.1791995
plonk,spdz,3,lan,8,1,0.189985
plonk,spdz,3,lan,8,2,0.1896346666666667
groth16,local,1,cohost,64,2,0.04746
plonk,spdz,3,lan,8,0,0.19023366666666672
groth16,local,1,cohost,64,1,0.047594000000000004
groth16,local,1,cohost,64,0,0.047803
plonk,spdz,2,lan,8,0,0.1807245
plonk,spdz,2,lan,8,1,0.17855700000000002
groth16,gsz,3,lan,64,2,0.09794399999999999
groth16,gsz,3,lan,64,1,0.100991
groth16,gsz,3,lan,64,0,0.09995
groth16,spdz,2,lan,32,2,0.085569
groth16,spdz,3,lan,32,2,0.09172566666666666
groth16,spdz,3,lan,32,1,0.09078833333333335
groth16,spdz,2,lan,32,1,0.0853315
groth16,spdz,2,lan,32,0,0.08690049999999999
groth16,spdz,3,lan,32,0,0.09008699999999999
marlin,local,1,cohost,16,2,0.066094
marlin,local,1,cohost,16,1,0.065856
marlin,local,1,cohost,16,0,0.065661
marlin,gsz,3,lan,16,2,0.10106166666666666
marlin,gsz,3,lan,16,1,0.10000766666666666
marlin,gsz,3,lan,16,0,0.099943
plonk,gsz,3,lan,8,2,0.16422533333333333
plonk,gsz,3,lan,8,0,0.1657886666666667
plonk,gsz,3,lan,8,1,0.16918033333333335
marlin,spdz,3,lan,8,2,0.10313033333333334
plonk,local,1,cohost,8,2,0.068023
plonk,local,1,cohost,8,0,0.06808499999999999
plonk,local,1,cohost,8,1,0.068118
marlin,spdz,2,lan,8,1,0.09345
marlin,spdz,2,lan,8,2,0.09438550000000001
marlin,spdz,3,lan,8,1,0.10285466666666666
marlin,spdz,2,lan,8,0,0.09790950000000001
plonk,spdz,2,lan,4,2,0.12825550000000002
marlin,spdz,3,lan,8,0,0.10288000000000001
plonk,spdz,3,lan,4,2,0.142713
plonk,spdz,3,lan,4,0,0.138993
plonk,spdz,3,lan,4,1,0.14370033333333335
plonk,spdz,2,lan,4,0,0.1320615
plonk,spdz,2,lan,4,1,0.130751
groth16,local,1,cohost,32,2,0.035792000000000004
groth16,local,1,cohost,32,0,0.035707
groth16,local,1,cohost,32,1,0.035882
groth16,gsz,3,lan,32,2,0.08625566666666667
groth16,spdz,2,lan,16,2,0.047769500000000006
